        ***************************************************************
        **                                                           **
        **                  FLUTTER SUMMARY                          **
        **                                                           **
        ***************************************************************




PARAMETERS USED FOR AEROELASTIC ANALYSIS

AEROELASTIC BASE SIZE:                        4
REDUCED FREQUENCIES NUMBER:                   6


REDUCED FREQUENCY LIST:

0.00010  
0.10000  
0.20000  
0.50000  
0.80000  
1.00000  


REFERENCE CHORD:                          2.194500e+00
REFERENCE DENSITY:                             8.500000e-01
STRUCTURAL DAMPING:                            0


                    FREQUENCY SWEEP

DELTA V:                                       12.6274
MAXIMUM VELOCITY:                              631.37
MAXIMUM DELTA V:                               10
MINIMUM DELTA V:                               0.01
CONVERGENCE CRITERION (%):                     0.001 
ERROR CRITERION FOR STEP INCREASING (%):       0.001 
MAXIMUM NUMBER OF ITERATIONS FOR FIRST STEP:   100 
MAXIMUM NUMBER OF ITERATIONS DURING SWEEP:     101 




MODE NUMBER: 2, OMEGA: 6.059766.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder

6.600807            12.627400           -0.048709           6.044989            -0.147223           37.981788           -0.000304           -0.000992           
3.678435            22.627400           -0.086593           6.036459            -0.261357           37.928189           -0.000299           -0.000715           
2.548586            32.627400           -0.123964           6.030680            -0.373793           37.891877           -0.000296           -0.000442           
1.949719            42.627400           -0.160918           6.027614            -0.484975           37.872614           -0.000293           -0.000172           
1.579142            52.627400           -0.197558           6.027230            -0.595365           37.870204           -0.000291           0.000095            
1.327494            62.627400           -0.234000           6.029505            -0.705453           37.884496           -0.000290           0.000360            
1.145646            72.627400           -0.270372           6.034420            -0.815770           37.915377           -0.000290           0.000623            
1.008253            82.627400           -0.306820           6.041963            -0.926898           37.962770           -0.000291           0.000885            
0.900896            92.627400           -0.343581           6.051996            -1.039676           38.025812           -0.000295           0.001107            
0.814707            102.627400          -0.381164           6.063859            -1.155663           38.100350           -0.000304           0.001256            
0.743980            112.627400          -0.419961           6.077010            -1.276054           38.182981           -0.000314           0.001374            
0.684923            122.627400          -0.460069           6.091351            -1.401222           38.273086           -0.000324           0.001495            
0.634899            132.627400          -0.501538           6.106925            -1.531428           38.370940           -0.000336           0.001620            
0.592013            142.627400          -0.544470           6.123773            -1.667106           38.476802           -0.000348           0.001750            
0.554866            152.627400          -0.589012           6.141938            -1.808837           38.590932           -0.000361           0.001884            
0.522403            162.627400          -0.635354           6.161462            -1.957355           38.713605           -0.000377           0.002022            
0.493813            172.627400          -0.683730           6.182395            -2.113545           38.845133           -0.000394           0.002166            
0.468464            182.627400          -0.734429           6.204791            -2.278488           38.985849           -0.000414           0.002314            
0.445857            192.627400          -0.787805           6.228705            -2.453502           39.136105           -0.000436           0.002470            
0.425588            202.627400          -0.844269           6.254209            -2.640119           39.296353           -0.000463           0.002633            
0.407336            212.627400          -0.904295           6.281398            -2.840118           39.467190           -0.000493           0.002807            
0.390835            222.627400          -0.968427           6.310400            -3.055581           39.649412           -0.000528           0.002996            
0.375871            232.627400          -1.037295           6.341385            -3.288943           39.844098           -0.000569           0.003205            
0.362266            242.627400          -1.111618           6.374589            -3.543054           40.052723           -0.000615           0.003441            
0.349877            252.627400          -1.192210           6.410336            -3.821233           40.277329           -0.000669           0.003716            
0.338589            262.627400          -1.279962           6.449081            -4.127291           40.520770           -0.000729           0.004044            
0.328313            272.627400          -1.375798           6.491460            -4.465470           40.787043           -0.000797           0.004447            
0.318985            282.627400          -1.480556           6.538354            -4.840201           41.081693           -0.000871           0.004953            
0.310562            292.627400          -1.594766           6.590956            -5.255517           41.412201           -0.000947           0.005594            
0.303026            302.627400          -1.718280           6.650780            -5.713953           41.788086           -0.001017           0.006400            
0.296366            312.627400          -1.849811           6.719555            -6.214955           42.220208           -0.001072           0.007382            
0.290572            322.627400          -1.986619           6.798912            -6.753425           42.718826           -0.001100           0.008507            
0.285610            332.627400          -2.124750           6.889941            -7.319703           43.290776           -0.001093           0.009701            
0.281416            342.627400          -2.259960           6.992858            -7.901789           43.937424           -0.001054           0.010871            
0.277900            352.627400          -2.388816           7.107057            -8.488726           44.654954           -0.000994           0.011950            
0.274967            362.627400          -2.509320           7.231458            -9.073022           45.436590           -0.000923           0.012911            
0.272526            372.627400          -2.620861           7.364903            -9.651195           46.275051           -0.000852           0.013762            
0.270502            382.627400          -2.723827           7.506397            -10.223064          47.164081           -0.000788           0.014525            
0.268838            392.627400          -2.819195           7.655190            -10.790736          48.098976           -0.000732           0.015226            
0.267489            402.627400          -2.908249           7.810771            -11.357832          49.076519           -0.000687           0.015885            
0.266421            412.627400          -2.992433           7.972812            -11.929051          50.094654           -0.000655           0.016520            
0.265608            422.627400          -3.073293           8.141108            -12.510004          51.152090           -0.000635           0.017137            
0.265027            432.627400          -3.152475           8.315499            -13.107201          52.247821           -0.000628           0.017738            
0.264655            442.627400          -3.231740           8.495775            -13.728067          53.380530           -0.000636           0.018311            
0.264467            452.627400          -3.312963           8.681550            -14.380828          54.547785           -0.000659           0.018832            
0.264429            462.627400          -3.398069           8.872086            -15.073982          55.744961           -0.000698           0.019255            
0.264495            472.627400          -3.488826           9.066108            -15.815037          56.964038           -0.000748           0.019517            
0.264602            482.627400          -3.586466           9.261675            -16.608340          58.192820           -0.000806           0.019554            
0.264678            492.627400          -3.691198           9.456289            -17.452519          59.415614           -0.000860           0.019325            
0.264653            502.627400          -3.801916           9.647343            -18.339193          60.616042           -0.000900           0.018851            
0.264478            512.627400          -3.916396           9.832755            -19.254482          61.781022           -0.000919           0.018213            
0.264130            522.627400          -4.031972           10.011402           -20.182845          62.903491           -0.000917           0.017514            
0.263617            532.627400          -4.146234           10.183119           -21.110796          63.982426           -0.000899           0.016838            
