        ***************************************************************
        **                                                           **
        **                  FLUTTER SUMMARY                          **
        **                                                           **
        ***************************************************************




PARAMETERS USED FOR AEROELASTIC ANALYSIS

AEROELASTIC BASE SIZE:                        14
REDUCED FREQUENCIES NUMBER:                   5


REDUCED FREQUENCY LIST:

0.00100  
0.01000  
0.10000  
0.60000  
1.00000  


REFERENCE CHORD:                          2.194500e+00
REFERENCE DENSITY:                             1.225000e+00
STRUCTURAL DAMPING:                            0


                    FREQUENCY SWEEP

DELTA V:                                       6.8
MAXIMUM VELOCITY:                              340
MAXIMUM DELTA V:                               10
MINIMUM DELTA V:                               0.01
CONVERGENCE CRITERION (%):                     0.001 
ERROR CRITERION FOR STEP INCREASING (%):       0.001 
MAXIMUM NUMBER OF ITERATIONS FOR FIRST STEP:   100 
MAXIMUM NUMBER OF ITERATIONS DURING SWEEP:     101 




MODE NUMBER: 7, OMEGA: 0.729207.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder

1.477362            6.800000            -0.034349           0.728585            -0.012513           4.577835            -0.000418           0.000031            
0.739673            13.600000           -0.071096           0.729564            -0.025934           4.583986            -0.000429           0.000230            
0.494341            20.400000           -0.105944           0.731377            -0.038742           4.595378            -0.000388           0.000301            
0.333382            30.400000           -0.152589           0.735022            -0.056078           4.618282            -0.000359           0.000432            
0.252578            40.400000           -0.196595           0.740051            -0.072745           4.649878            -0.000342           0.000575            
0.204232            50.400000           -0.238711           0.746515            -0.089101           4.690493            -0.000328           0.000718            
0.172220            60.400000           -0.279045           0.754405            -0.105256           4.740064            -0.000314           0.000859            
0.149574            70.400000           -0.317542           0.763686            -0.121251           4.798378            -0.000299           0.000996            
0.132793            80.400000           -0.354106           0.774312            -0.137094           4.865145            -0.000283           0.001128            
0.119921            90.400000           -0.388643           0.786229            -0.152781           4.940026            -0.000267           0.001254            
0.109783            100.400000          -0.421070           0.799379            -0.168297           5.022647            -0.000249           0.001374            
0.101627            110.400000          -0.451329           0.813698            -0.183623           5.112615            -0.000232           0.001488            
0.094953            120.400000          -0.479380           0.829122            -0.198732           5.209525            -0.000214           0.001595            
0.089412            130.400000          -0.505207           0.845583            -0.213597           5.312956            -0.000197           0.001696            
0.084755            140.400000          -0.528811           0.863017            -0.228186           5.422493            -0.000179           0.001790            
0.080802            150.400000          -0.550211           0.881358            -0.242466           5.537735            -0.000162           0.001877            
0.077414            160.400000          -0.569437           0.900546            -0.256402           5.658295            -0.000144           0.001959            
0.074487            170.400000          -0.586532           0.920521            -0.269958           5.783802            -0.000128           0.002035            
0.071940            180.400000          -0.601546           0.941227            -0.283096           5.913904            -0.000111           0.002105            
0.069711            190.400000          -0.614535           0.962611            -0.295779           6.048263            -0.000095           0.002171            
0.067747            200.400000          -0.625559           0.984622            -0.307970           6.186565            -0.000080           0.002231            
0.066007            210.400000          -0.634680           1.007214            -0.319629           6.328510            -0.000065           0.002287            
0.064459            220.400000          -0.641963           1.030341            -0.330720           6.473823            -0.000051           0.002338            
0.063075            230.400000          -0.647472           1.053963            -0.341206           6.622242            -0.000037           0.002386            
0.061832            240.400000          -0.651272           1.078041            -0.351049           6.773529            -0.000024           0.002429            
0.060712            250.400000          -0.653426           1.102540            -0.360214           6.927461            -0.000011           0.002470            
0.059698            260.400000          -0.653997           1.127427            -0.368667           7.083836            0.000002            0.002507            
0.058778            270.400000          -0.653046           1.152674            -0.376375           7.242466            0.000013            0.002542            
0.057940            280.400000          -0.650634           1.178253            -0.383306           7.403183            0.000025            0.002574            
0.057174            290.400000          -0.646818           1.204140            -0.389430           7.565834            0.000036            0.002603            
